t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,q1_des,q2_des,q3_des,q4_des,dq1_des,dq2_des,dq3_des,dq4_des,s1,s2,s3,s4,tau1,tau2,tau3,tau4,sat1,sat2,sat3,sat4,a1_hat,a2_hat,a3_hat,a4_hat,b1_hat,b2_hat,b3_hat,b4_hat
0.520000,0.236262,0.230289,0.646691,-0.190280,1.859313,-0.045561,-2.688558,4.800000,0.324833,0.028235,0.634957,1.190510,0.555894,0.518304,0.554468,0.569898,0.860559,0.446404,-3.125691,-30.289654,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000033,1.020543,1.017305,0.500000,0.181707,0.028012,0.130403,0.200000
0.530000,0.236262,0.230289,0.646691,-0.190280,1.859313,-0.045561,-2.688558,4.800000,0.330373,0.033387,0.640477,1.196159,0.552036,0.512096,0.549407,0.559906,0.836718,0.426852,-3.175825,-30.420891,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000034,1.020626,1.017147,0.500000,0.164517,0.032404,0.157730,0.200000
0.540000,0.247468,0.217862,0.635478,-0.142280,0.559892,-2.231123,0.165918,4.800000,0.335874,0.038477,0.645945,1.201707,0.548119,0.505804,0.544266,0.549776,-0.430257,-1.840002,-0.483018,-29.349473,1.200000,1.200000,1.200000,1.200000,1,1,1,1,1.000034,1.020705,1.016969,0.500000,0.147405,0.036437,0.188680,0.200000
0.550000,0.247468,0.217862,0.635478,-0.142280,0.559892,-2.231123,0.165918,4.800000,0.341335,0.043503,0.651362,1.207154,0.544142,0.499429,0.539043,0.539509,-0.453588,-1.858759,-0.531962,-29.475370,1.200000,1.200000,1.200000,1.200000,1,1,1,1,1.000034,1.020551,1.015941,0.500000,0.155925,0.022044,0.194949,0.200000
0.560000,0.246840,0.183364,0.652688,-0.094280,-0.539478,-4.448608,2.976221,4.800000,0.346757,0.048465,0.656726,1.212497,0.540108,0.492974,0.533742,0.529110,-1.579167,-4.267089,2.402102,-28.398551,1.200000,1.200000,-1.200000,1.200000,1,1,1,1,1.000034,1.020394,1.014889,0.500000,0.165119,0.008201,0.200000,0.200000
0.570000,0.249808,0.142806,0.677287,-0.046280,0.896029,-3.747879,2.062054,4.800000,0.352137,0.053362,0.662036,1.217736,0.536016,0.486441,0.528362,0.518580,-0.151636,-3.787100,1.686197,-27.318985,0.914995,1.200000,-1.200000,1.200000,0,1,1,1,1.000035,1.020466,1.014047,0.500000,0.197956,0.000000,0.172418,0.200000
0.580000,0.249808,0.142806,0.677287,-0.046280,0.896029,-3.747879,2.062054,4.800000,0.357477,0.058194,0.667293,1.222868,0.531868,0.479830,0.522904,0.507923,-0.174185,-3.804646,1.639091,-27.436643,1.033733,1.200000,-1.200000,1.200000,0,1,1,1,1.000035,1.020522,1.013038,0.500000,0.200000,0.002971,0.159743,0.200000
0.590000,0.263260,0.121586,0.678022,0.001720,1.664816,-0.789140,-1.536680,4.800000,0.362775,0.062959,0.672494,1.227894,0.527665,0.473145,0.517369,0.497141,0.639580,-0.969146,-1.998770,-26.351497,-1.200000,1.200000,1.200000,1.200000,1,1,1,1,1.000035,1.020577,1.012002,0.500000,0.200000,0.007290,0.145877,0.200000
0.600000,0.282449,0.128138,0.645396,0.049720,2.125080,1.689374,-4.498468,4.800000,0.368030,0.067656,0.677640,1.232811,0.523406,0.466386,0.511759,0.486238,1.173772,1.525397,-5.332667,-25.263518,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000035,1.020501,1.011109,0.500000,0.186886,0.010779,0.164349,0.200000
0.610000,0.282449,0.128138,0.645396,0.049720,2.125080,1.689374,-4.498468,4.800000,0.373242,0.072286,0.682729,1.237618,0.519093,0.459557,0.506073,0.475216,1.152022,1.509078,-5.377874,-25.372680,-1.200000,-1.200000,1.200000,1.200000,1,1,1,1,1.000036,1.020769,1.011400,0.500000,0.164553,0.005777,0.200000,0.200000
